Executable name	Version	Application name	Application category	Number of devices	Number of executions	Average memory usage per execution [bytes]
csc.exe	4.8.3752.0	Microsoft .NET Framework	Operating System	4	6	-
ping.exe	6.1.7600.16385	Microsoft Windows Operating System	Operating System	12	14	-
r07n221w.tmp	51.1052.0.0	unknown	-	1	1	-
vsixconfigurationupdater.exe	2.1.3096.46871	Visual Studio	-	3	23	-
crlogtransport.exe	2.4.1.0	CRLogTransport Application	-	1	9	-
msohtmed.exe	14.0.4730.1010	Microsoft Office 2010	Office	2	15	-
bluejeans.detector.exe	2.19.409.0	BlueJeans.Detector	-	2	2	-
crwindowsclientservice.exe	2.4.1.0	Adobe Crash Reporter Service	-	1	9	-
am_delta_patch_1.313.1182.0.exe	1.313.1218.0	Microsoft Malware Protection	-	1	1	-
try_blas__pwszzsv.exe	0.0.0.0	unknown	-	1	1	-
hpcustpartic.exe	44.4.2678.1977	HP Digital Imaging	-	1	36	-
iwrap.exe	20.120.1.0	Intel PROSet/Wireless	Utility & Device driver	1	1	-
nz3gs07w.exe	2.7.100.2	Intel SGX Device and Software -Package 1.4.10.3	-	1	2	-
javac.exe	8.0.2410.7	Java Platform SE 8	-	2	6	-
update.exe	1.9.0.0	Update	Network application	2	9	-
crwindowsclientservice.exe	2.2.2.0	Adobe Crash Reporter Service	-	16	34	-
where.exe	10.0.16299.15	Microsoft Windows Operating System	Operating System	5	20	-
otipxy.exe	0.0.0.0	unknown	-	4	4	-
80.0.3987.149_chrome_installer.exe	80.0.3987.149	Google Chrome Installer	-	169	174	-
atmgr.exe	3911.100.1912.1000	AtMgr Module	Instant messaging & Video-conferencing	1	1	-
installagent.exe	10.0.14393.2969	Microsoft Windows Operating System	Operating System	6	134	-
searchprotocolhost.exe	7.0.17134.1067	Windows Search	Operating System	1	1689	-
wbxreport.exe	4001.0.1912.1800	WBXReport Module	Instant messaging & Video-conferencing	6	10	-
vulkanrt-installer.exe	1.1.77.0	unknown	-	1	1	-
am_delta_patch_1.313.1594.0.exe	1.313.1638.0	Microsoft Malware Protection	-	1	1	-
getmac.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	2	2	-
ddconfigca.exe	15.0.28307.960	Microsoft Visual Studio	-	1	1	-
wc.exe	0.0.0.0	mintty	Unknown	4	12	-
werfault.exe	10.0.16299.15	Microsoft Windows Operating System	Operating System	5	16	-
cvtres.exe	12.0.52512.0	Microsoft .NET Framework	Operating System	4	30	-
shutdown.exe	10.0.16299.15	Microsoft Windows Operating System	Operating System	2	2	-
