Platform	Name	Entity	Last IP address	Device type	Device model	CPU model	Total RAM [bytes]	Hard disks	OS version and architecture	DXS - Web browsing (DXS - Web browsing)	DXS - Business apps (DXS - Business apps)	DXS - Device (DXS - Device)	DXS - Productivity (DXS - Productivity)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	DXS - Security (DXS - Security)	OS name
Windows	TXHQSCHMIL-L1	VPN (TX)	10.99.82.37	laptop	Latitude E7440	Intel Core i5-4310U CPU @ 2.00GHz	4294967296	LITEON (119.2GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)												Windows 10
Windows	TXHQSCHOWDH1-L1	-	98.201.209.216	laptop	Latitude 7390 2-in-1	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	Generic- SD/MMC CRW USB Device (0B), Toshiba (238.5GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	9.13257	10	9.42773	8.42793	10	10	10	10	10		10	Windows 10
Windows	TXHQSCLARK-D2	Houston - 910 Corp (TX)	10.132.213.81	desktop	OptiPlex 7010	Intel Core i7-3770S CPU @ 3.10GHz	8589934592	Samsung (119.2GB, 90% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			8.817		10	10	10	10	10		10	Windows 10
Windows	TXHQSCLARK-L1	-	66.102.155.155	laptop	Latitude 7490	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	SK hynix SC311 SATA 256GB (238.5GB, 90% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5.99687	10	6.04155	7.5627	10	10	10	10	10		7.3	Windows 10
Windows	TXHQSCOOPER-L4	-	70.138.85.55	laptop	Latitude E7250	Intel Core i5-5300U CPU @ 2.30GHz	17179869184	Samsung (238.5GB, 70% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5.73185	9.00265	7	7.8658	10	10	10	10	10		10	Windows 10
Windows	TXHQSCORWIN-L1	-	45.25.29.72	laptop	Latitude 7490	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	Toshiba (238.5GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5.584	10	0	6.66667	10	10	10	10	10		0	Windows 10
Windows	TXHQSDANG-L3	VPN (TX)	10.72.0.36	laptop	Latitude 5400	Intel Core i5-8365U CPU @ 1.60GHz	8589934592	Toshiba (238.5GB)	Windows 10 Enterprise 1709 (64 bits)	6.158	9.51154	8.61472	9.20175	10	10	10	10	10		10	Windows 10
Windows	TXHQSDASARA-D4	Houston - 910 Corp (TX)	10.132.28.90	desktop	OptiPlex 9020	Intel Core i7-4790S CPU @ 3.20GHz	12884901888	Samsung (119.2GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	8.7124	9.97	9.74785	8.97411	10	10	10	10	10		10	Windows 10
Windows	TXHQSDASARA-L1	VPN (TX)	10.99.84.209	laptop	Latitude 5400	Intel Core i5-8365U CPU @ 1.60GHz	8589934592	Toshiba (238.5GB)	Windows 10 Enterprise 1709 (64 bits)	7.77673	9.67919	0	8.50424	10	10	10	10	10		0	Windows 10
Windows	TXHQSDAVIS4-L1	-	10.72.104.143	laptop	Latitude 7490	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	SK hynix SC311 SATA 256GB (238.5GB, 90% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5.81576	7.58686	0	8.38632	10	10	10	10	10		10	Windows 10
Windows	TXHQSDELEON-L1	VPN (TX)	10.99.87.34	laptop	Latitude E7470	Intel Core i5-6300U CPU @ 2.40GHz	8589934592	SanDisk X400 M.2 2280 256GB (238.5GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)	5.98404	9.31283	0	8.65009	10	10	10	10	10		7	Windows 10
Windows	TXHQSDEVON-L1	-	98.200.204.140	laptop	Latitude 7490	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	SK hynix SC311 SATA 256GB (238.5GB, 90% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	6.04157	9.49763	0	8.44126	10	10	10	10	10		7.6	Windows 10
Windows	TXHQSDHRAMAR-L1	-	73.136.116.238	laptop	Latitude E7250	Intel Core i5-5300U CPU @ 2.30GHz	8589934592	Samsung (238.5GB, 80% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	7.73862	7.92334	0	7.86197	10	10	10	10	10		10	Windows 10
Windows	TXHQSDIETH-L1	VPN (TX)	10.99.84.204	laptop	Latitude E7440	Intel Core i5-4310U CPU @ 2.00GHz	8589934592	Samsung (119.2GB, 70% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	8.82807	9.67472	9.68565	6	10	10	10	10	10		10	Windows 10
Windows	TXHQSDIETRIC-L4	VPN (TX)	10.99.82.106	laptop	Latitude E7440	Intel Core i5-4310U CPU @ 2.00GHz	8589934592	Samsung (119.2GB, 80% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	7.85033	9.43851	9.62855	8.84534	10	10	10	10	10		10	Windows 10
